pmid,title,abstract,publication_date,publication_year,journal,volume,issue,pages,language,relevant,dois,publication_types,mesh_terms,keywords
11143247,First clinical experience with the automatic positioning system and Leksell gamma knife Model C. Technical note.,"In May of 1999, the first Leksell Model C gamma knife was installed at the Gamma Knife Zentrum in Krefeld, Germany. The authors recount their experience with this latest technical gamma knife development. Until the end of 1999, extensive physical and technical tests were performed and the system's hardware and software were continuously improved and adapted to the user's needs. By the end of 1999, 163 GKSs had been performed using the new functionality of the Model C in manual or ""trunnion"" mode. The trunnions, the two parts of the system that fix the patient headframe to the gamma knife when the isocenter positions, are checked manually. During the same period the new automatic positioning system (APS) was extensively tested and refined so that the first APS treatment could be performed in January 2000. Fifty GKSs have been performed with the APS capability of the Model C. It was possible to use APS alone in 74% of surgeries whereas in 14% some shots were given with APS and some with trunnions. In 12%, GKS was scheduled and planned for APS, but due to unexpected technical (6%) or mechanical (6%) reasons the treatment had to be performed manually. At present there are some spatial restrictions with Model C in APS mode when compared with the Model B. The most significant restriction is the narrow space for the patient's shoulders, especially when deep-seated lesions are treated. Through mechanical changes of the APS motor housing and some modifications of and to the motor driven couch adjustment, these limitations will be reduced in the future. The APS treatment runs smoothly and fast. In no case did any relevant safety error occur during GKS. The more stringent mechanical limitations of the APS compared with the Model B means that frame placement on the head is more critical than before.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,193-7,eng,False,10.3171/jns.2000.93.supplement,Comparative Study;Journal Article,Brain Neoplasms/secondary/*surgery;*Computer Systems;Equipment Design;Head Protective Devices;Humans;Intracranial Arteriovenous Malformations/*surgery;Radiosurgery/*instrumentation;Stereotaxic Techniques/*instrumentation,
11143254,A quality factor to compare the dosimetry of gamma knife radiosurgery and intensity-modulated radiation therapy quantitatively as a function of target volume and shape. Technical note.,"The authors have developed a quality factor (QF) to compare gamma knife radiosurgery, linear accelerator radiosurgery, and intensity-modulated radiation therapy (IMRT) dosimetry. This QF relates the percentage of target covered (PTC) by the prescription radiation isodose, target volume (V(T)), and enclosed tissue volume, which receives greater than a particular dose (V(X)): QF(X) = PTCxV(T)/V(X). The authors investigated target shape independent of volume in predicting radiosurgical complication rates. Plastic targets of a defined volume (0.2, 0.5, 1.5, and 10 cm3) and four increasingly complex shapes (spherical, ellipsoid, simulated arteriovenous malformation [AVM], and horseshoe) were created. Dosimetry was studied on the Leksell GammaPlan, Adac/Pinnacle, and Nomos Corvus workstations. The dosimetry of a new 4 mm x 10-mm IMRT collimator array (the Nomos Beak) not yet validated for use in our clinical practice was studied. Particularly for larger targets, the gamma knife and IMRT Beak plans show similar conformality (QF assuming 15-Gy volume [QF15]). Particularly for small and round targets the gamma knife plan quality is significantly higher (QF assuming 12-Gy volume [QF12]). As V(T) and complexity increase, the IMRT Beak QF12 approaches that of the gamma knife. The QF12 of gamma knife dosimetry has an inverse correlation with target shape complexity independent of V(T). At a prescription dose of 15 Gy to the target margin, the QF15 is a conformality index. The 12-Gy volume (volume enclosed by 12-Gy surface/volume receiving at least 12 Gy) estimates the radiosurgical normal tissue complication rate for AVMs. When the target is well covered, the QF12 is inversely proportional to the complication risk and is a measure of the plan quality.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,228-32,eng,False,10.3171/jns.2000.93.supplement,Comparative Study;Journal Article,"Humans;Image Processing, Computer-Assisted;Intracranial Arteriovenous Malformations/*surgery;Phantoms, Imaging;*Quality Assurance, Health Care;Radiosurgery/*methods;Reproducibility of Results",
11143253,Comparison of geometric distortion in digital angiography with and without a correction program. Technical note.,"This study was conducted to evaluate the geometric distortion of angiographic images created from a commonly used digital x-ray imaging system and the performance of a commercially available distortion-correction computer program. A 12 x 12 x 12-cm wood phantom was constructed. Lead shots, 2 mm in diameter, were attached to the surfaces of the phantom. The phantom was then placed inside the angiographic localizer. Cut films (frontal and lateral analog films) of the phantom were obtained. The films were analyzed using GammaPlan target series 4.12. The same procedure was repeated with a digital x-ray imaging system equipped with a computer program to correct the geometric distortion. The distortion of the two sets of digital images was evaluated using the coordinates of the lead shots from the cut films as references. The coordinates of all lead shots obtained from digital images and corrected by the computer program coincided within 0.5 mm of those obtained from cut films. The average difference is 0.28 mm with a standard deviation of 0.01 mm. On the other hand, the coordinates obtained from digital images with and without correction can differ by as much as 3.4 mm. The average difference is 1.53 mm, with a standard deviation of 0.67 mm. The investigated computer program can reduce the geometric distortion of digital images from a commonly used x-ray imaging system to less than 0.5 mm. Therefore, they are suitable for the localization of arteriovenous malformations and other vascular targets in gamma knife radiosurgery.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,223-7,eng,False,10.3171/jns.2000.93.supplement,Comparative Study;Journal Article,"Angiography, Digital Subtraction/*instrumentation;Artifacts;Cerebral Angiography/*instrumentation;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/*surgery;Phantoms, Imaging;Quality Assurance, Health Care;Radiosurgery/*instrumentation;*Software",
11143251,Image registration and calculation of a biologically effective dose for multisession radiosurgical treatments. Technical note.,"The purpose of this study was to develop techniques for registering image sets associated with staged or multifraction radiosurgical treatments of large targets with the Leksell gamma knife to transform shot coordinates between treatment sessions and produce cumulative dose distributions and to investigate the theoretical biological effects of such protracted treatments by means of such concepts as the linear-quadratic model and biologically effective dose. An image registration technique based on normalized mutual information was adapted to produce one fused-image study from an imaging series acquired during distinct treatment sessions. A spreadsheet computer program was developed to determine coordinate transformations between the associated stereotactic coordinate systems based on digitized coordinates of fiducial markers appearing on the fused images. Coordinates of shots used during one treatment session could then be transformed to the stereotactic space of another session, and cumulative dose distributions could be computed. The procedure was applied to the two-stage treatment of a giant arteriovenous malformation (AVM). Overall uncertainty in each transformed shot position is approximately 0.7 mm. An effective single-fraction dose (D(eff)) was defined and computed for the two-stage AVM treatment. The simple summed dose distribution was compared with the D(eff) distribution. Because dose values differ significantly in overlap regions between the individual distributions, the clinical usefulness of the simple cumulative distribution is dubious. It may be useful for a future update of the GammaPlan treatment planning software to generate effective single-session dose distributions for such cases.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,208-18,eng,False,10.3171/jns.2000.93.supplement,Journal Article,"Humans;*Image Processing, Computer-Assisted;Intracranial Arteriovenous Malformations/diagnosis/*surgery;*Magnetic Resonance Imaging;*Radiosurgery;Reoperation;Reproducibility of Results;Software",
11143227,Gamma knife radiosurgery as a single treatment modality for large cerebral arteriovenous malformations.,"OBJECT: A consecutive series of 240 patients with arteriovenous malformations (AVMs) treated by gamma knife radiosurgery (GKS) between March 1993 and March 1999 was evaluated to assess the efficacy and safety of radiosurgery for cerebral AVMs larger than 10 cm3 in volume. METHODS: Seventy-six patients (32%) had AVM nidus volumes of more than 10 cm3. During radiosurgery, targeting and delineation of AVM nidi were based on integrated stereotactic magnetic resonance (MR) imaging and x-ray angiography. The radiation treatment was performed using multiple small isocenters to improve conformity of the treatment volume. The mean dose inside the nidus was kept between 20 Gy and 24 Gy. The margin dose ranged between 15 to 18 Gy placed at the 55 to 60% isodose centers. Follow up ranged from 12 to 73 months. There was complete obliteration in 24 patients with an AVM volume of more than 10 cm3 and in 91 patients with an AVM volume of less than 10 cm3. The latency for complete obliteration in larger-volume AVMs was significantly longer. In Kaplan-Meier analysis, the complete obliteration rate in 40 months was 77% in AVMs with volumes between 10 to 15 cm3, as compared with 25% for AVMs with a volume of more than 15 cm3. In the latter, the obliteration rate had increased to 58% at 50 months. The follow-up MR images revealed that large-volume AVMs had higher incidences of postradiosurgical edema, petechiae, and hemorrhage. The bleeding rate before cure was 9.2% (seven of 76) for AVMs with a volume exceeding 10 cm3, and 1.8% (three of 164) for AVMs with a volume less than 10 cm3. Although focal edema was more frequently found in large AVMs, most of the cases were reversible. Permanent neurological complications were found in 3.9% (three of 76) of the patients with an AVM volume of more than 10 cm3, 3.8% (three of 80) of those with AVM volume of 3 to 10 cm3, and 2.4% (two of 84) of those with an AVM volume less than 3 cm3. These differences in complications rate were not significant. CONCLUSIONS: Recent improvement of radiosurgery in conjunction with stereotactic MR targeting and multiplanar dose planning has permitted the treatment of larger AVMs. It is suggested that gamma knife radiosurgery is effective for treating AVMs as large as 30 cm3 in volume with an acceptable risk.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,113-9,eng,True,10.3171/jns.2000.93.supplement,Journal Article,"Adolescent;Adult;Aged;Cerebral Angiography;Child;Child, Preschool;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnosis/*surgery;Magnetic Resonance Angiography;Male;Middle Aged;Postoperative Complications/diagnosis;*Radiosurgery;Retrospective Studies",
11143225,Analysis of the causes of treatment failure in gamma knife radiosurgery for intracranial arteriovenous malformations.,"OBJECT: The authors sought to analyze causes for treatment failure following gamma knife radiosurgery (GKS) for intracranial arteriovenous malformations (AVMs), in cases in which the nidus could still be observed on angiography 3 years postsurgery. METHODS: Four hundred fifteen patients with AVMs were treated with GKS between April 1990 and March 2000. The mean margin dose was 23.6 Gy (range 10-25 Gy), and the mean nidus volume was 5.3 cm3 (range 0.4-41.7 cm3). The KULA treatment planning system and conventional subtraction angiography were used in treatment planning. One hundred twenty-three of these 415 patients underwent follow-up angiography after GKS. After 3 years the nidus was totally obliterated in 98 patients (80%) and partial obliteration was noted in the remaining 25. There were several reasons why complete obliteration was not achieved in all cases: inadequate nidus definition in four patients, changes in the size and location of the nidus in five patients due to recanalization after embolization or reexpansion after hematoma reabsorption, a large AVM volume in five patients, a suboptimal radiation dose to the thalamic and basal ganglia in eight patients, and radioresistance in three patients with an intranidal fistula. CONCLUSIONS: The causes of failed GKS for treatment of AVMs seen on 3-year follow-up angiograms include inadequate nidus definition, large nidus volume, suboptimal radiation dose, recanalization/reexpansion, and radioresistance associated with an intranidal fistula.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,104-6,eng,True,10.3171/jns.2000.93.supplement,Journal Article,"Angiography, Digital Subtraction;Cerebral Angiography;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/*surgery;Postoperative Complications/diagnostic imaging/*etiology;*Radiosurgery;Risk Factors;Treatment Failure",
11143224,Gamma knife radiosurgery for brainstem arteriovenous malformations: preliminary results.,"OBJECT: This study was undertaken to assess the efficacy and safety of gamma knife radiosurgery (GKS) for the treatment of arteriovenous malformations (AVMs) located within the brainstem. METHODS: The results of GKS performed in 87 patients with brainstem AVMs at two centers with experienced physicians are reviewed. The mean patient age was 37 years and the population included 19 children. The male/female ratio was 56:31. The malformation was located in the upper brainstem in 52 patients. Seventy-four percent of the patients had suffered a hemorrhage before GKS. For 70% of the patients no other treatment had been proposed before GKS. The mean AVM volume was 1.3 cm3. The lesions were treated with one to eight isocenters, with a margin dose ranging between 11.5 Gy and 30 Gy. The mean clinical follow-up period was 3.2 years. Ninety-five percent of the patients improved or remained neurologically stable. Rebleeding occurred in three patients at 3, 6, and 16 months, respectively, after GKS. Two patients in whom rebleeding occured recovered, and one died. The AVM obliteration rate was 63% at 2 years and 73% at 3 years after GKS. A second GKS was performed in six patients in whom only partial obliteration was demonstrated on angiography 3 years after the first procedure. CONCLUSIONS: Gamma knife radiosurgery may be a valuable first-choice therapy for the treatment of AVMs located within the brainstem.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,102-3,eng,False,10.3171/jns.2000.93.supplement,Journal Article,"Adolescent;Adult;Aged;Aged, 80 and over;Brain Stem/*blood supply;Cerebral Hemorrhage/surgery;Child;Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Male;Middle Aged;*Radiosurgery;Retrospective Studies;Treatment Outcome",
11143226,Staged radiosurgical treatment for large benign cerebral lesions.,"OBJECT: Large brain lesions are considered unamenable to gamma knife treatment because of possible adverse effects. The proximity of eloquent brain to a target location, including some arteriovenous malformations (AVMs), still poses a challenge to the neurosurgeon. Because meningiomas and AVMs often show a slow or absent growth rate, partial radiosurgical treatment in cases with risk of unacceptable surgery-related morbidity is an alternative. The authors evaluated the results of staged treatment. METHODS: Since April 1992, 12 patients suffering from large benign tumors (meningiomas) and seven with AVMs considered inoperable underwent gamma knife radiosurgery in staged procedures. All patients with tumors underwent primary open surgery for partial removal of recurrent growth and subsequent radiosurgical treatment. Four men and eight women ranging in age from 26 to 73 years harbored tumors that ranged in volume from 19 to 90 cm3. Marginal dose ranged from 10 to 25 Gy prescribed in the 30 to 50% isodose. The time interval between the radiosurgical treatments varied from 1 to 8 months. Follow up ranged from 5 and 89 months. Three female and four male patients (age range 10-48 years) had undergone previous AVM embolization and were treated with margin doses of 18 to 22 Gy in the 40 to 50% isodose. The volume range of these AVMs was 11 to 25 cm3. The time interval between radiosurgical treatments ranged from 5 to 36 months. The mean follow up was 22.6 months. Neurological follow-up examinations showed clinical improvement in 11 patients (58%), whereas five (26%) remained unchanged. Among tumor patients no deterioration or further tumor growth was observed. Tumor necrosis demonstrated noticed in five patients (26%). One patient with an AVM suffered from seizures and hemiparesis. Follow-up magnetic resonance imaging of the residual nidus disclosed no rebleeding. CONCLUSIONS: For selected patients with large benign lesions staged gamma knife radiosurgery could be an alternative, as evidenced by the authors' series in which there was no mortality and low incidence morbidity.",2000 Dec,2000,Journal of neurosurgery,93 Suppl 3,,107-12,eng,False,10.3171/jns.2000.93.supplement,Journal Article,Adolescent;Adult;Aged;Child;Disease Progression;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnosis/*surgery;Magnetic Resonance Imaging;Male;Meningeal Neoplasms/diagnosis/*surgery;Meningioma/diagnosis/*surgery;Middle Aged;Postoperative Complications/diagnosis;*Radiosurgery;Reoperation,
12507078,Impact on the quality of life of patients with arteriovenous malformations during the latent interval between gamma knife radiosurgery and lesion obliteration.,"OBJECT: The aim of this study was to measure the quality of life (QOL) in patients with cerebral arteriovenous malformations (AVMs) receiving gamma knife treatment before total AVM obliteration. Quality of life was assessed as it related to the knowledge of rebleeding risk during the waiting period, AVM symptoms, and previous bleeding. METHODS: Thirty-nine patients age 18 years or older without other medical problems were asked to complete a questionnaire that included demographic variables, immediate effect of gamma knife radiosurgery, symptoms of AVM, previous hemorrhage, and the Duke-University of North Carolina Health Profile (63 items). CONCLUSIONS: The QOL of patients with cerebral AVM during the waiting period after undergoing gamma knife treatment was affected by irreversible physical disabilities rather than the knowledge of hemorrhage risk and bleeding experience.",2002 Dec,2002,Journal of neurosurgery,97,5 Suppl,471-3,eng,False,10.3171/jns.2002.97.supplement,Journal Article,Adolescent;Adult;Humans;Intracranial Arteriovenous Malformations/*psychology/*surgery;Intracranial Hemorrhages/psychology/surgery;Patient Education as Topic;Perception;*Quality of Life;Radiosurgery/*psychology;Social Adjustment;Surveys and Questionnaires;Waiting Lists,
12507079,Hemorrhage risks and obliteration rates of arteriovenous malformations after gamma knife radiosurgery.,"OBJECT: The purpose of this study was to analyze the risk of hemorrhage and the obliteration rate after treatment of patients with arteriovenous malformations (AVMs). METHODS: Between 1991 and 1995, 115 patients were treated using gamma knife radiosurgery (GKS). Surgical planning was based on angiograms and three-dimensional images. The angiographic features of the AVMs and the risk factors for hemorrhage were then evaluated. Hemorrhages occurred in eight patients (7%) 7 to 42 months after GKS. Based on AVM morphology, the rates of hemorrhage were five (7.6%) of 66 for AVMs with a single draining vein, seven (14%) of 66 for AVMs with deep drainage, four (26.7%) of 15 for AVMs with a varix, four (28.6%) of 14 for AVMs with venous obstruction, eight (17.0%) of 47 for high-flow (shunt- and mixed-type) AVMs, and five (35.7%) of 14 for large AVMs with a volume of more than 10 cm3. No hemorrhages were observed in association with low-flow (moyamoya-type) AVMs in this series. Total AVM obliteration was achieved in 81.3% of 80 patients who underwent angiography. The obliteration rate was 91.3% for moyamoyatype AVMs and 67.6% for shunt- and mixed-type AVMs. Early obliteration within 12 months was achieved in 63% of the moyamoya-type AVMs. CONCLUSIONS: Moyamoya-type AVMs seem to be at risk for post-GKS hemorrhage. Intravascular embolization should be considered prior to GKS for mixed- and shunt-type AVMs in an attempt to reduce the hemodynamic stress and thereby decrease the risk of hemorrhage.",2002 Dec,2002,Journal of neurosurgery,97,5 Suppl,474-6,eng,True,10.3171/jns.2002.97.supplement,Journal Article,Adult;Aged;Female;Humans;Intracranial Arteriovenous Malformations/*epidemiology/*surgery;Intracranial Hemorrhages/*epidemiology;Male;Middle Aged;Postoperative Complications/*epidemiology;*Radiosurgery;Risk Factors;Treatment Outcome,
